geoid,geoid20,year,vacant_residential_count,vacant_commercial_count
1400000US06037209820,6037209820,2021,7,2
1400000US06037210010,6037210010,2021,3,4
1400000US06037211000,6037211000,2021,11,30
1400000US06037211121,6037211121,2021,4,0
1400000US06037211122,6037211122,2021,3,3
1400000US06037211123,6037211123,2021,2,8
1400000US06037211124,6037211124,2021,5,18
1400000US06037211201,6037211201,2021,4,0
1400000US06037211202,6037211202,2021,2,4
1400000US06037211310,6037211310,2021,9,2
1400000US06037211320,6037211320,2021,14,0
1400000US06037211410,6037211410,2021,4,2
1400000US06037211420,6037211420,2021,6,4
1400000US06037211500,6037211500,2021,21,13
1400000US06037211701,6037211701,2021,3,92
1400000US06037211703,6037211703,2021,5,0
1400000US06037211704,6037211704,2021,10,101
1400000US06037211802,6037211802,2021,29,97
1400000US06037211803,6037211803,2021,1,0
1400000US06037211804,6037211804,2021,2,0
1400000US06037211910,6037211910,2021,2,0
1400000US06037211921,6037211921,2021,3,1
1400000US06037211922,6037211922,2021,1,1
