geoid,geoid20,year,denom_known_poverty_1,housing_stability_count,housing_stability_pct
1400000US06037125321,6037125321,2021,2718,2309,84.952171
1400000US06037125322,6037125322,2021,1979,1458,73.673569
1400000US06037125402,6037125402,2021,4462,3692,82.743164
1400000US06037125403,6037125403,2021,2324,1791,77.065407
1400000US06037125404,6037125404,2021,2696,2100,77.893173
1400000US06037125501,6037125501,2021,2854,2475,86.72039
1400000US06037125502,6037125502,2021,3802,3315,87.190948
1400000US06037125600,6037125600,2021,2906,2658,91.465935
1400000US06037127102,6037127102,2021,5066,4684,92.459534
1400000US06037127103,6037127103,2021,3061,2805,91.636719
1400000US06037127104,6037127104,2021,3945,3567,90.418251
1400000US06037127210,6037127210,2021,5644,4731,83.823532
1400000US06037127220,6037127220,2021,5276,4573,86.675514
1400000US06037127300,6037127300,2021,3583,3142,87.691879
1400000US06037127400,6037127400,2021,6168,5608,90.920883
1400000US06037127520,6037127520,2021,4850,4242,87.463921
1400000US06037127603,6037127603,2021,2636,2452,93.01973
1400000US06037127604,6037127604,2021,3252,2837,87.238625
1400000US06037127605,6037127605,2021,3754,3336,88.865211
1400000US06037127606,6037127606,2021,3125,2804,89.727997
1400000US06037127711,6037127711,2021,3100,2625,84.677422
1400000US06037127712,6037127712,2021,3733,3350,89.740158
1400000US06037127803,6037127803,2021,4827,3639,75.388443
1400000US06037127804,6037127804,2021,4788,4290,89.598999
1400000US06037127805,6037127805,2021,3289,3200,97.294014
1400000US06037127806,6037127806,2021,3049,2827,92.718925
1400000US06037127910,6037127910,2021,4683,4463,95.302155
1400000US06037127920,6037127920,2021,4689,4295,91.597359
1400000US06037128101,6037128101,2021,2935,2770,94.378197
1400000US06037128102,6037128102,2021,4842,4006,82.734406
1400000US06037128210,6037128210,2021,5196,4788,92.147804
1400000US06037128220,6037128220,2021,2752,2442,88.735466
1400000US06037128302,6037128302,2021,4787,4309,90.014626
1400000US06037128303,6037128303,2021,3663,3139,85.694786
1400000US06037128400,6037128400,2021,4631,4091,88.339455
1400000US06037128500,6037128500,2021,4043,3699,91.49147
1400000US06037128601,6037128601,2021,4805,4446,92.528618
1400000US06037128602,6037128602,2021,2879,2804,97.394928
1400000US06037128703,6037128703,2021,2918,2443,83.721725
1400000US06037128704,6037128704,2021,2239,1932,86.288521
1400000US06037128801,6037128801,2021,3749,3241,86.449722
1400000US06037128802,6037128802,2021,4293,3443,80.200325
1400000US06037128910,6037128910,2021,4484,3755,83.742195
1400000US06037131021,6037131021,2021,3465,3260,94.083694
1400000US06037131022,6037131022,2021,2770,2351,84.87365
1400000US06037131023,6037131023,2021,2935,2767,94.275978
1400000US06037131024,6037131024,2021,3852,3643,94.574249
1400000US06037131100,6037131100,2021,3242,2939,90.653915
1400000US06037131200,6037131200,2021,3452,3422,99.130936
1400000US06037131300,6037131300,2021,4504,4176,92.717583
1400000US06037131400,6037131400,2021,6196,5690,91.833443
1400000US06037131600,6037131600,2021,4938,4842,98.055893
1400000US06037131701,6037131701,2021,5495,5008,91.137398
1400000US06037131702,6037131702,2021,4033,3462,85.841805
1400000US06037131801,6037131801,2021,3053,2857,93.580086
1400000US06037131802,6037131802,2021,2564,2296,89.547585
1400000US06037131900,6037131900,2021,4412,4250,96.328194
1400000US06037132001,6037132001,2021,3186,3037,95.323288
1400000US06037132002,6037132002,2021,3538,2983,84.313171
1400000US06037132101,6037132101,2021,4518,4115,91.080124
1400000US06037132102,6037132102,2021,5334,4544,85.189354
