geoid,geoid20,year,denom_total_hh,homeownership_count,homeownership_pct,rentership_count,rentership_pct
1400000US06037132001,6037132001,2021,1188,739,62.205387,449,37.794613
1400000US06037132002,6037132002,2021,1145,657,57.379913,488,42.620087
1400000US06037132101,6037132101,2021,1591,638,40.100567,953,59.899433
1400000US06037132102,6037132102,2021,2141,952,44.465202,1189,55.534798
1400000US06037132301,6037132301,2021,1373,97,7.0648217,1276,92.935181
1400000US06037132302,6037132302,2021,977,406,41.555782,571,58.444218
1400000US06037132501,6037132501,2021,1274,554,43.485085,720,56.514915
1400000US06037132502,6037132502,2021,1206,665,55.140961,541,44.859039
1400000US06037132700,6037132700,2021,1660,939,56.566265,721,43.433735
1400000US06037132900,6037132900,2021,1304,724,55.521473,580,44.478527
1400000US06037133000,6037133000,2021,1437,1051,73.138481,386,26.861517
1400000US06037133101,6037133101,2021,606,360,59.405941,246,40.594059
1400000US06037133102,6037133102,2021,1372,455,33.163265,917,66.836731
1400000US06037134001,6037134001,2021,948,351,37.025318,597,62.974682
1400000US06037134002,6037134002,2021,1203,495,41.147133,708,58.852867
1400000US06037134101,6037134101,2021,1313,726,55.293221,587,44.706779
1400000US06037134103,6037134103,2021,1267,723,57.063931,544,42.936069
1400000US06037134104,6037134104,2021,1298,609,46.918335,689,53.081665
1400000US06037134201,6037134201,2021,1314,1045,79.52816,269,20.471842
1400000US06037134302,6037134302,2021,1369,1121,81.88459,248,18.115412
1400000US06037134303,6037134303,2021,1912,1388,72.594139,524,27.405857
1400000US06037134304,6037134304,2021,940,605,64.361702,335,35.638298
1400000US06037134305,6037134305,2021,1188,28,2.3569024,1160,97.643097
1400000US06037134306,6037134306,2021,1463,339,23.171566,1124,76.828438
1400000US06037134421,6037134421,2021,1490,1332,89.395973,158,10.604027
1400000US06037134422,6037134422,2021,1546,1263,81.694695,283,18.305304
1400000US06037134423,6037134423,2021,1314,988,75.190262,326,24.809742
1400000US06037134424,6037134424,2021,1020,910,89.215683,110,10.784314
1400000US06037134520,6037134520,2021,1868,227,12.152034,1641,87.847969
1400000US06037134521,6037134521,2021,755,108,14.304636,647,85.695366
1400000US06037134522,6037134522,2021,1437,281,19.554628,1156,80.445374
1400000US06037134710,6037134710,2021,1599,257,16.072546,1342,83.927452
1400000US06037134720,6037134720,2021,1759,927,52.700397,832,47.299603
1400000US06037134801,6037134801,2021,1094,754,68.921387,340,31.078611
1400000US06037134802,6037134802,2021,812,594,73.15271,218,26.84729
1400000US06037134901,6037134901,2021,990,592,59.797981,398,40.202019
1400000US06037134904,6037134904,2021,1428,620,43.417366,808,56.582634
1400000US06037134905,6037134905,2021,2600,331,12.730769,2269,87.269234
1400000US06037134906,6037134906,2021,1131,0,0,1131,100
1400000US06037134907,6037134907,2021,1532,0,0,1532,100
1400000US06037135102,6037135102,2021,1214,1064,87.64415,150,12.355848
1400000US06037135111,6037135111,2021,1258,635,50.476948,623,49.523052
1400000US06037135113,6037135113,2021,1345,185,13.754647,1160,86.245354
1400000US06037135115,6037135115,2021,1455,282,19.381443,1173,80.618553
1400000US06037135116,6037135116,2021,1000,68,6.8000002,932,93.199997
1400000US06037135201,6037135201,2021,876,696,79.452057,180,20.547945
1400000US06037135202,6037135202,2021,1445,1020,70.588234,425,29.411764
1400000US06037135204,6037135204,2021,1625,1416,87.138458,209,12.861539
1400000US06037135205,6037135205,2021,771,629,81.582359,142,18.417639
1400000US06037137000,6037137000,2021,1718,1341,78.055878,377,21.94412
1400000US06037137103,6037137103,2021,2399,1164,48.520218,1235,51.479782
1400000US06037137104,6037137104,2021,940,803,85.425529,137,14.574468
1400000US06037137202,6037137202,2021,1334,437,32.758621,897,67.241379
1400000US06037137203,6037137203,2021,849,528,62.190811,321,37.809189
1400000US06037137301,6037137301,2021,710,686,96.61972,24,3.3802817
1400000US06037137302,6037137302,2021,1541,1389,90.136276,152,9.8637247
1400000US06037137401,6037137401,2021,1527,1001,65.553375,526,34.446629
1400000US06037137402,6037137402,2021,2077,1437,69.186325,640,30.813673
1400000US06037137501,6037137501,2021,1997,731,36.604908,1266,63.395092
1400000US06037137502,6037137502,2021,1719,1254,72.949387,465,27.050611
1400000US06037137504,6037137504,2021,675,603,89.333336,72,10.666667
1400000US06037138000,6037138000,2021,1774,1455,82.018036,319,17.981962
1400000US06037139001,6037139001,2021,2222,1128,50.765076,1094,49.234924
1400000US06037139200,6037139200,2021,2193,1183,53.94437,1010,46.05563
1400000US06037139301,6037139301,2021,1503,1319,87.75782,184,12.242183
1400000US06037139302,6037139302,2021,1907,410,21.499739,1497,78.500259
1400000US06037139303,6037139303,2021,2144,561,26.166044,1583,73.833954
1400000US06037139401,6037139401,2021,1139,331,29.060579,808,70.939423
1400000US06037139402,6037139402,2021,936,824,88.034187,112,11.965812
1400000US06037139502,6037139502,2021,1110,677,60.99099,433,39.00901
1400000US06037139504,6037139504,2021,1756,442,25.170843,1314,74.829155
1400000US06037139505,6037139505,2021,1544,359,23.251295,1185,76.748703
1400000US06037139506,6037139506,2021,1494,777,52.008034,717,47.991966
1400000US06037139600,6037139600,2021,2240,1425,63.61607,815,36.38393
1400000US06037139701,6037139701,2021,2118,1595,75.306892,523,24.693108
1400000US06037139703,6037139703,2021,851,765,89.894241,86,10.105758
1400000US06037139704,6037139704,2021,975,794,81.435898,181,18.564102
1400000US06037139705,6037139705,2021,1284,1252,97.50779,32,2.4922118
1400000US06037139801,6037139801,2021,1232,1189,96.509743,43,3.4902596
1400000US06037139802,6037139802,2021,1380,1257,91.08696,123,8.913043
1400000US06037141101,6037141101,2021,2229,574,25.751457,1655,74.248543
1400000US06037141102,6037141102,2021,1422,533,37.482418,889,62.517582
1400000US06037141201,6037141201,2021,2079,358,17.219818,1721,82.780182
1400000US06037141202,6037141202,2021,1435,655,45.6446,780,54.3554
1400000US06037141303,6037141303,2021,1692,299,17.671394,1393,82.328606
1400000US06037141304,6037141304,2021,1522,722,47.437584,800,52.562416
1400000US06037141305,6037141305,2021,1345,454,33.754646,891,66.245354
1400000US06037141306,6037141306,2021,1520,340,22.368422,1180,77.631577
1400000US06037141400,6037141400,2021,2028,1049,51.725838,979,48.274162
1400000US06037141500,6037141500,2021,1100,1069,97.181816,31,2.8181818
1400000US06037141600,6037141600,2021,1758,1529,86.973831,229,13.026166
1400000US06037141700,6037141700,2021,1179,1103,93.553856,76,6.4461408
1400000US06037143101,6037143101,2021,1086,684,62.983425,402,37.016575
1400000US06037143102,6037143102,2021,1219,247,20.26251,972,79.737488
1400000US06037143200,6037143200,2021,2068,644,31.141199,1424,68.858803
1400000US06037143301,6037143301,2021,1555,335,21.543407,1220,78.456589
1400000US06037143302,6037143302,2021,1617,739,45.701916,878,54.298084
1400000US06037143401,6037143401,2021,2289,1041,45.478374,1248,54.521626
1400000US06037143402,6037143402,2021,797,352,44.165623,445,55.834377
1400000US06037143500,6037143500,2021,2325,1152,49.548386,1173,50.451614
1400000US06037143602,6037143602,2021,2213,1113,50.29372,1100,49.70628
1400000US06037143603,6037143603,2021,1322,413,31.240545,909,68.759453
1400000US06037143605,6037143605,2021,890,47,5.280899,843,94.719101
1400000US06037143606,6037143606,2021,975,36,3.6923077,939,96.307693
1400000US06037143700,6037143700,2021,1725,1212,70.260872,513,29.73913
1400000US06037143801,6037143801,2021,1352,799,59.097633,553,40.902367
1400000US06037143802,6037143802,2021,1055,403,38.199051,652,61.800949
1400000US06037143901,6037143901,2021,1599,1434,89.681053,165,10.31895
1400000US06037143902,6037143902,2021,1362,741,54.405285,621,45.594715
1400000US06037181000,6037181000,2021,2234,1512,67.68129,722,32.31871
1400000US06037181300,6037181300,2021,1281,866,67.603432,415,32.396564
1400000US06037181400,6037181400,2021,1663,544,32.711967,1119,67.288033
1400000US06037181500,6037181500,2021,1398,998,71.387695,400,28.612303
1400000US06037181600,6037181600,2021,1051,466,44.338726,585,55.661274
1400000US06037183101,6037183101,2021,1095,611,55.799088,484,44.200912
1400000US06037183103,6037183103,2021,1647,362,21.979357,1285,78.020645
1400000US06037183104,6037183104,2021,726,479,65.977959,247,34.022038
1400000US06037183220,6037183220,2021,1051,565,53.758324,486,46.241676
1400000US06037183221,6037183221,2021,1116,608,54.480286,508,45.519714
1400000US06037183222,6037183222,2021,1553,924,59.497746,629,40.502254
1400000US06037183300,6037183300,2021,1107,457,41.282745,650,58.717255
1400000US06037183401,6037183401,2021,827,421,50.906891,406,49.093109
